,FEN,Name,ECO,UCI,SAN,White_Win,Draw,Black_Win,Common1,Common2,Common3
81,rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,Center Game Accepted,C21,e5d4,exd4,319872,28536,358154,"['d1d4', 'Qxd4']","['c2c3', 'c3']","['g1f3', 'Nf3']"
82,r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4,Center Game: Normal Variation,C22,b8c6,Nc6,128057,13332,190779,"['d4d1', 'Qd1']","['d4e3', 'Qe3']","['d4a4', 'Qa4']"
83,r1bqkbnr/pppp1ppp/2n5/8/4P3/4Q3/PPP2PPP/RNB1KBNR b KQkq - 2 4,Center Game: Paulsen Attack Variation,C22,d4e3,Qe3,43027,3969,49654,"['g8f6', 'Nf6']","['d7d6', 'd6']","['b7b6', 'b6']"
84,r1bqkb1r/pppp1ppp/2n2n2/8/4P3/4Q3/PPP2PPP/RNB1KBNR w KQkq - 3 5,Center Game: Berger Variation,C22,g8f6,Nf6,14459,1330,17471,"['b1c3', 'Nc3']","['e4e5', 'e5']","['f2f3', 'f3']"
85,rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,Nimzo-Larsen Attack: Classical Variation,A01,d7d5,d5,49443,5191,49343,"['c1b2', 'Bb2']","['e2e3', 'e3']","['d2d4', 'd4']"
86,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Philidor Defense,C41,d7d6,d6,1273314,107065,968261,"['f1c4', 'Bc4']","['d2d4', 'd4']","['b1c3', 'Nc3']"
87,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Queen's Gambit Declined,D30,e7e6,e6,459918,52033,373718,"['b1c3', 'Nc3']","['g1f3', 'Nf3']","['c4d5', 'cxd5']"
88,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Sicilian Defense: French Variation,B40,e7e6,e6,223701,27399,248822,"['d2d4', 'd4']","['b1c3', 'Nc3']","['f1c4', 'Bc4']"
89,rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,Sicilian Defense: Smith-Morra Gambit,B21,d2d4,d4,274283,27104,313209,"['c5d4', 'cxd4']","['e7e6', 'e6']","['d7d6', 'd6']"
90,rnbqkbnr/pp1ppppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq - 0 4,Sicilian Defense: Smith-Morra Gambit Accepted,B21,d4c3,dxc3,61711,5957,53109,"['b1c3', 'Nxc3']","['f1c4', 'Bc4']","['g1f3', 'Nf3']"
91,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,Zukertort Opening,A04,g1f3,Nf3,987392,105757,892921,"['d7d5', 'd5']","['g8f6', 'Nf6']","['b8c6', 'Nc6']"
92,rnbqkbnr/p1pppppp/1p6/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,Zukertort Opening: Queenside Fianchetto Variation,A04,b7b6,b6,19206,1768,15965,"['g2g3', 'g3']","['d2d4', 'd4']","['e2e4', 'e4']"
93,r1bqkbnr/pppp1pp1/2n4p/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,Italian Game: Anti-Fried Liver Defense,C50,h7h6,h6,355926,30351,288141,"['d2d4', 'd4']","['e1h1', 'O-O']","['b1c3', 'Nc3']"
94,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Petrov's Defense,C42,g8f6,Nf6,1050015,86669,791170,"['f3e5', 'Nxe5']","['b1c3', 'Nc3']","['f1c4', 'Bc4']"
95,rnbqkb1r/pppp1ppp/5n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Petrov's Defense: Modern Attack,C43,d2d4,d4,57922,4814,44804,"['e5d4', 'exd4']","['f6e4', 'Nxe4']","['d7d6', 'd6']"
96,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Philidor Defense: Nimzowitsch Variation,C41,d7d6,d6,34962,2675,21974,"['d4e5', 'dxe5']","['b1c3', 'Nc3']","['c1g5', 'Bg5']"
97,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,French Defense: Knight Variation,C00,g1f3,Nf3,438046,43516,451782,"['d7d5', 'd5']","['g8f6', 'Nf6']","['b8c6', 'Nc6']"
98,rnbqkbnr/pppppp1p/6p1/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,Zukertort Opening: Kingside Fianchetto,A04,g7g6,g6,26140,2947,24264,"['d2d4', 'd4']","['g2g3', 'g3']","['e2e4', 'e4']"
99,rnbqkbnr/ppp2ppp/8/3pp3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,King's Pawn Game: Beyer Gambit,C20,d7d5,d5,46703,4437,30976,"['d4e5', 'dxe5']","['e4d5', 'exd5']","['b1c3', 'Nc3']"
100,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,Three Knights Opening,C46,b1c3,Nc3,699236,71827,735172,"['g8f6', 'Nf6']","['f8c5', 'Bc5']","['f8b4', 'Bb4']"
101,r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,Ruy Lopez: Berlin Defense,C65,g8f6,Nf6,298709,26847,233009,"['e1h1', 'O-O']","['b5c6', 'Bxc6']","['d2d3', 'd3']"
102,r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",C67,f6e4,Nxe4,36538,3500,23754,"['f1e1', 'Re1']","['d2d4', 'd4']","['b5c6', 'Bxc6']"
103,rnbqkbnr/pp1ppppp/8/2p5/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,Nimzo-Larsen Attack: English Variation,A01,c7c5,c5,8986,837,8608,"['c1b2', 'Bb2']","['c2c4', 'c4']","['e2e3', 'e3']"
104,rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,"Sicilian Defense: French Variation, Open",B40,c5d4,cxd4,101926,13378,113356,"['f3d4', 'Nxd4']","['d1d4', 'Qxd4']","['c2c3', 'c3']"
105,rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,Sicilian Defense: Kan Variation,B41,a7a6,a6,31906,4684,37652,"['b1c3', 'Nc3']","['c2c4', 'c4']","['f1d3', 'Bd3']"
106,rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 1 5,"Sicilian Defense: Kan Variation, Knight Variation",B43,b1c3,Nc3,22431,3066,26786,"['d8c7', 'Qc7']","['b7b5', 'b5']","['b8c6', 'Nc6']"
107,rnbqkb1r/pppppppp/5n2/8/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 2 2,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",A16,b1c3,Nc3,64965,8876,63058,"['g7g6', 'g6']","['e7e6', 'e6']","['e7e5', 'e5']"
108,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3,"English Opening: King's English Variation, Two Knights Variation",A22,e7e5,e5,112155,11525,97473,"['g2g3', 'g3']","['g1f3', 'Nf3']","['e2e4', 'e4']"
109,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 2 4,"English Opening: King's English Variation, Four Knights Variation",A28,b8c6,Nc6,28148,3070,22334,"['g2g3', 'g3']","['e2e3', 'e3']","['d2d4', 'd4']"
110,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq - 0 4,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",A29,g2g3,g3,9943,1061,7342,"['f8c5', 'Bc5']","['d7d5', 'd5']","['f8b4', 'Bb4']"
111,rnbqkbnr/ppp1pppp/8/8/2pP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,Queen's Gambit Accepted: Normal Variation,D21,g1f3,Nf3,41911,2946,21860,"['g8f6', 'Nf6']","['b8c6', 'Nc6']","['e7e6', 'e6']"
112,rnbqkbnr/1pp1pppp/p7/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,Queen's Gambit Accepted: Alekhine Defense,D22,a7a6,a6,936,101,719,"['e2e3', 'e3']","['a2a4', 'a4']","['e2e4', 'e4']"
113,r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,Ruy Lopez: Morphy Defense,C70,a7a6,a6,366882,38408,309646,"['b5a4', 'Ba4']","['b5c6', 'Bxc6']","['b5c4', 'Bc4']"
114,r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6,Ruy Lopez: Closed,C84,f8e7,Be7,18311,3172,18844,"['f1e1', 'Re1']","['c2c3', 'c3']","['d2d3', 'd3']"
115,r1bqk2r/1pppbppp/p1B2n2/4p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 0 6,"Ruy Lopez: Closed, Delayed Exchange",C85,a4c6,Bxc6,1007,173,991,"['d7c6', 'dxc6']","['b7c6', 'bxc6']","['b7b5', 'b5']"
116,rnbqkb1r/pp2pp1p/2pp1np1/8/3PP3/2N1B3/PPPQ1PPP/R3KBNR b KQkq - 1 5,Pirc Defense: 150 Attack,B07,d1d2,Qd2,242,51,228,"['b7b5', 'b5']","['b8d7', 'Nbd7']","['f8g7', 'Bg7']"
117,rnbqkb1r/pp2pppp/3p1n2/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",B50,g8f6,Nf6,7261,686,6045,"['b1c3', 'Nc3']","['d4c5', 'dxc5']","['e4e5', 'e5']"
118,rnbqkbnr/pp1ppppp/8/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,Sicilian Defense: Closed,B23,b1c3,Nc3,274412,30083,305133,"['b8c6', 'Nc6']","['d7d6', 'd6']","['e7e6', 'e6']"
119,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,"Sicilian Defense: Closed, Traditional",B23,b8c6,Nc6,102553,11665,119137,"['g1f3', 'Nf3']","['f2f4', 'f4']","['f1c4', 'Bc4']"
120,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR b KQkq - 0 3,"Sicilian Defense: Closed, Fianchetto Variation",B24,g2g3,g3,10257,1477,9218,"['g7g6', 'g6']","['g8f6', 'Nf6']","['d7d6', 'd6']"
121,r1bqk1nr/pppp1ppp/2n5/b3p3/2B1P3/2P2N2/P2P1PPP/RNBQK2R w KQkq - 1 6,"Italian Game: Evans Gambit, Main Line",C52,b4a5,Ba5,10799,931,10114,"['d2d4', 'd4']","['e1h1', 'O-O']","['d1b3', 'Qb3']"
122,r1bqk1nr/pppp1ppp/2n5/b7/2BpP3/2P2N2/P4PPP/RNBQK2R w KQkq - 0 7,"Italian Game: Evans Gambit, Pierce Defense",C52,e5d4,exd4,5855,480,4710,"['e1h1', 'O-O']","['d1b3', 'Qb3']","['f3d4', 'Nxd4']"
123,r1bqk2r/pppp1ppp/2n2n2/b7/2BpP3/2P2N2/P4PPP/RNBQ1RK1 w kq - 2 8,"Italian Game: Evans Gambit, Anderssen Defense",C52,g8f6,Nf6,1189,109,1123,"['e4e5', 'e5']","['c3d4', 'cxd4']","['c1a3', 'Ba3']"
124,r1bqkb1r/1ppp1ppp/p1n5/4p3/B3n3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,Ruy Lopez: Open,C80,f6e4,Nxe4,9094,871,6423,"['f1e1', 'Re1']","['d2d4', 'd4']","['a4c6', 'Bxc6']"
125,r1bqk1nr/pppp1ppp/2n5/b3p3/2B1P3/2P2N2/P2P1PPP/RNBQ1RK1 b kq - 2 6,"Italian Game: Evans Gambit, Slow Variation",C52,e1g1,O-O,1853,171,2281,"['g8f6', 'Nf6']","['d7d6', 'd6']","['g8e7', 'Nge7']"
126,rnbqkbnr/ppp2ppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Philidor Defense: Exchange Variation,C41,e5d4,exd4,152766,13921,117512,"['f3d4', 'Nxd4']","['d1d4', 'Qxd4']","['f1c4', 'Bc4']"
127,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,Indian Defense,A45,g8f6,Nf6,1292933,167608,1392318,"['c2c4', 'c4']","['g1f3', 'Nf3']","['c1f4', 'Bf4']"
128,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,Indian Defense: Normal Variation,A50,c2c4,c4,576307,77329,564983,"['e7e6', 'e6']","['g7g6', 'g6']","['d7d5', 'd5']"
129,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,Indian Defense: Anti-Nimzo-Indian,E10,g1f3,Nf3,70487,11057,62573,"['d7d5', 'd5']","['b7b6', 'b6']","['f8b4', 'Bb4+']"
130,rnbqkb1r/p2p1ppp/4pn2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 5,Blumenfeld Countergambit,E10,b7b5,b5,529,76,501,"['d5e6', 'dxe6']","['b2b3', 'b3']","['c1g5', 'Bg5']"
131,rnbqkb1r/p2p1ppp/4pn2/1ppP2B1/2P5/5N2/PP2PPPP/RN1QKB1R b KQkq - 1 5,Blumenfeld Countergambit: Duz-Khotimirsky Variation,E10,c1g5,Bg5,64,17,54,"['b5c4', 'bxc4']","['e6d5', 'exd5']","['h7h6', 'h6']"
132,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,Bishop's Opening: Boi Variation,C23,f8c5,Bc5,154270,12320,122503,"['g1f3', 'Nf3']","['d1h5', 'Qh5']","['d1f3', 'Qf3']"
133,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4,Italian Game: Classical Variation,C53,c2c3,c3,196065,19277,155591,"['g8f6', 'Nf6']","['d7d6', 'd6']","['h7h6', 'h6']"
134,r1b1k1nr/ppppqppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5,"Italian Game: Classical Variation, Closed Variation",C53,d8e7,Qe7,1794,177,1629,"['e1h1', 'O-O']","['d2d4', 'd4']","['d2d3', 'd3']"
135,rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,King's Gambit Accepted,C33,e5f4,exf4,232116,15390,181864,"['g1f3', 'Nf3']","['f1c4', 'Bc4']","['d2d4', 'd4']"
136,rnbqkbnr/pppp1ppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR b KQkq - 1 3,King's Gambit Accepted: Bishop's Gambit,C33,f1c4,Bc4,19317,1171,13625,"['d8h4', 'Qh4+']","['g8f6', 'Nf6']","['b8c6', 'Nc6']"
137,rnb1kbnr/pppp1p1p/8/6p1/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w kq - 0 5,"King's Gambit Accepted: Bishop's Gambit, Lopez Variation",C33,g7g5,g5,82,3,63,"['g1f3', 'Nf3']","['b1c3', 'Nc3']","['d2d4', 'd4']"
138,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,Ponziani Opening,C44,c2c3,c3,144472,13450,149373,"['g8f6', 'Nf6']","['f8c5', 'Bc5']","['d7d5', 'd5']"
139,r1bqkbnr/ppp2ppp/2n5/1B1pp3/4P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 1 4,Ponziani Opening: Spanish Variation,C44,f1b5,Bb5,1598,155,1860,"['d5e4', 'dxe4']","['c8g4', 'Bg4']","['c8d7', 'Bd7']"
140,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Petrov's Defense: Italian Variation,C42,g1f3,Nf3,276682,19963,237036,"['b8c6', 'Nc6']","['f6e4', 'Nxe4']","['f8c5', 'Bc5']"
141,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,thomas_erland_m,r4,e2e3,e3,60153,6449,52908,"['g8f6', 'Nf6']","['c7c5', 'c5']","['c7c6', 'c6']"
142,rnb1k1nr/pppp1ppp/8/2b5/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w kq - 4 5,"King's Gambit Accepted: Bishop's Gambit, Greco Variation",C33,f8c5,Bc5,2531,114,1717,"['d2d4', 'd4']","['g1f3', 'Nf3']","['d1e2', 'Qe2']"
143,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Scotch Game,C44,d2d4,d4,813908,74119,636255,"['e5d4', 'exd4']","['d7d6', 'd6']","['g8f6', 'Nf6']"
144,r1bqkbnr/pppp1ppp/2n5/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4,Scotch Game: Scotch Gambit,C44,f1c4,Bc4,101152,8775,71111,"['g8f6', 'Nf6']","['f8c5', 'Bc5']","['h7h6', 'h6']"
145,r1bqk1nr/pppp1ppp/2n5/2b5/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 5,Scotch Game: Haxo Gambit,C44,f8c5,Bc5,36923,2909,29110,"['c2c3', 'c3']","['f3g5', 'Ng5']","['e1h1', 'O-O']"
146,r1b1kbnr/pppp1ppp/2n5/8/3NP2q/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,Scotch Game: Steinitz Variation,C45,d8h4,Qh4,6830,894,9355,"['b1c3', 'Nc3']","['d4c6', 'Nxc6']","['d1d3', 'Qd3']"
147,r1b1kbnr/pppp1ppp/2n5/1N6/4P2q/8/PPP2PPP/RNBQKB1R b KQkq - 2 5,Scotch Game: Horwitz Attack,C45,d4b5,Nb5,308,20,204,"['h4e4', 'Qxe4+']","['f8b4', 'Bb4+']","['f8c5', 'Bc5']"
148,rnbqkb1r/ppp2ppp/3p4/8/4n3/5N2/PPPPQPPP/RNB1KB1R b KQkq - 1 5,Petrov's Defense: Cozio Attack,C42,d1e2,Qe2,28669,3970,25941,"['d8e7', 'Qe7']","['d6d5', 'd5']","['c8f5', 'Bf5']"
149,rnbqkbnr/p1pp1ppp/8/1p6/2B1Pp2/8/PPPP2PP/RNBQK1NR w KQkq - 0 4,"King's Gambit Accepted: Bishop's Gambit, Kieseritzky Gambit",C33,b7b5,b5,29,3,14,"['c4b5', 'Bxb5']","['c4b3', 'Bb3']","['c4f7', 'Bxf7+']"
150,rnbqkbnr/pppp1ppp/8/8/2BpP3/8/PPP2PPP/RNBQK1NR b KQkq - 1 3,Center Game: von der Lasa Gambit,C21,f1c4,Bc4,12812,944,11109,"['b8c6', 'Nc6']","['g8f6', 'Nf6']","['c7c5', 'c5']"
151,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5,"Italian Game: Classical Variation, Center Attack",C54,d2d4,d4,80149,8156,61381,"['e5d4', 'exd4']","['c5b6', 'Bb6']","['c5d6', 'Bd6']"
152,r1bqk2r/pppp1ppp/2n2n2/2b5/2BPP3/5N2/PP3PPP/RNBQK2R b KQkq - 0 6,"Italian Game: Classical Variation, Greco Gambit, Traditional Line",C54,c3d4,cxd4,56535,6213,47166,"['c5b4', 'Bb4+']","['c5b6', 'Bb6']","['c6d4', 'Nxd4']"
153,r1bqk1nr/pppp1ppp/2n5/2b3N1/2BpP3/8/PPP2PPP/RNBQK2R b KQkq - 3 5,"Scotch Game: Scotch Gambit, Sarratt Variation",C44,f3g5,Ng5,10879,803,9601,"['g8h6', 'Nh6']","['c6e5', 'Ne5']","['d7d5', 'd5']"
154,rnbqkb1r/ppp2ppp/3p4/8/4n3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 5,Petrov's Defense: Nimzowitsch Attack,C42,b1c3,Nc3,10650,1690,7835,"['e4c3', 'Nxc3']","['e4f6', 'Nf6']","['d6d5', 'd5']"
155,rnbqk1nr/pppp1ppp/8/2b1p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 1 3,King's Gambit Declined: Classical Variation,C30,f8c5,Bc5,12387,939,11340,"['g1f3', 'Nf3']","['f4e5', 'fxe5']","['f1c4', 'Bc4']"
156,rnbqk1nr/ppp2ppp/3p4/2b1p3/1P2PP2/5N2/P1PP2PP/RNBQKB1R b KQkq - 0 4,"King's Gambit Declined: Classical Variation, Rotlewi Countergambit",C30,b2b4,b4,35,2,34,"['c5b4', 'Bxb4']","['c5b6', 'Bb6']",None
157,rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,King's Gambit Accepted: King's Knight's Gambit,C34,g1f3,Nf3,195514,12577,146161,"['g8f6', 'Nf6']","['d7d6', 'd6']","['b8c6', 'Nc6']"
158,rnbqkbnr/pppp1p1p/8/4N3/4PppP/8/PPPP2P1/RNBQKB1R b KQkq - 1 5,King's Gambit Accepted: Kieseritzky Gambit,C39,f3e5,Ne5,2419,198,2182,"['d7d6', 'd6']","['h7h5', 'h5']","['g8f6', 'Nf6']"
159,rnbqkb1r/pppp1p1p/5n2/4N3/4PppP/8/PPPP2P1/RNBQKB1R w KQkq - 2 6,"King's Gambit Accepted: Kieseritzky Gambit, Berlin Defense",C39,g8f6,Nf6,275,39,499,"['e5g4', 'Nxg4']","['f1c4', 'Bc4']","['d2d4', 'd4']"
160,rnbqkbnr/pppp1p1p/8/8/2BPPpp1/5N2/PPP3PP/RNBQK2R b KQkq - 0 5,King's Gambit Accepted: Ghulam-Kassim Gambit,C37,d2d4,d4,267,19,292,"['g4f3', 'gxf3']","['d7d5', 'd5']","['b8c6', 'Nc6']"
